No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,경기도 김포시 유현로 33번길 73,꿈에그린더포레듀,9036.58,1424.22,660,20181227
,경기도 김포시 김포한강 4로 420번길 100,김포한강아이파크,19396,2990.27,1230,20180219
,경기도 김포시 김포한강 11로 255번길 15,이랜드타운힐스,8922.24,1510.13,550,20180111
,경기도 김포시 김포대로 1430,리버에일린의뜰,7862.73,1695.96,439,20171121
,경기도 김포시 김포한강 8로 15,한강센트럴블루힐,28541.87,3904.52,1763,20170814
,경기도 김포시 김포한강 11로 438번길 123,한신더휴테라스 12단지,11980.24,4395.68,351,20170428
,경기도 김포시 김포한강 1로 309,한신더휴테라스 11단지,5375.24,2075.29,157,20170227
,경기도 김포시 김포한강 11로 288-48,한신더휴테라스 8단지,7927.41,3062.91,232,20170227
,경기도 김포시 김포한강 11로 388,한신더휴테라스 9단지,4545.3,1777.35,184,20170227
,경기도 김포시 모담공원로 17,운양푸르지오,6633.22,1103.93,242,20160205
,경기도 김포시 김포한강 8로 365,구래역화성파크드림,12705.36,1998.54,820,20150629
,경기도 김포시 김포한강 2로 273,모아미래도엘가,15598.78,2995.69,1060,20140616
,경기도 김포시 풍무로 68번길 39,한화유로메트로아파트 1단지,17525.03,3203.82,965,20140523
,경기도 김포시 풍무로 68번길 41,한화유로메트로아파트 2단지,15256.59,2724.34,845,20140523
,경기도 김포시 김포한강 11로 275,롯데캐슬,19944.73,3572.1,1136,20140409
,경기도 김포시 김포한강 8로 173-27,상록데시앙,8042.26,1126.18,490,20131101
,경기도 김포시 김포한강 11로 255번길 149,한강한라비발디,15990.15,3431.1,857,20130626
,경기도 김포시 김포한강 7로 22번길 22,자연앤힐스테이트,22002.73,3388.81,1382,20130228
,경기도 김포시 김포한강 8로 173-58,경남아너스빌,16110.24,2458.67,976,20130110
,경기도 김포시 김포한강 8로 377,나비마을리슈빌,9022.06,1778.65,572,20121227
,경기도 김포시 중봉로 1-1,신안실크밸리,20081.86,4919.24,1074,20121227
