No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,성남시 수정구 헌릉로 1005,위례포레스트부영,13705.37,2518.64,566,20190215
,성남시 수정구 태평로 65,가천대역두산위브,5246.5,1431.78,503,20181012
,성남시 수정구 위례광장로 36,위례역푸르지오4단지,4190.84,1329.43,208,20171016
,성남시 수정구 수정로 265,신흥동미래타운,365.36,208.55,48,20171010
,성남시 수정구 위례순환로 17,위례31단지,24114.69,3710.39,2334,20170707
,성남시 수정구 위례광장로 97,위례자연앤센트럴자이,20623.54,3922.75,1413,20170628
,성남시 수정구 위례순환로 130,위례아트리버푸르지오2단지,2125.55,769.76,90,20161230
,성남시 수정구 위례중앙로 216,위례호반베르디움,19570.78,3457.09,1137,20161206
,성남시 수정구 위례동로 61,위례자연&래미안e편한세상,26915.54,4733.89,1540,20160630
,성남시 수정구 위례광장로 311,위례35단지,23109.79,3755,2568,20160531
,성남시 수정구 위례순환로 220,위례더힐55,29811.38,4694.26,1380,20151231
,성남시 수정구 위례동로 15,힐스테이트위례,15397.85,2965.99,621,20151127
,성남시 분당구 대왕판교로606번길 10,알파리움1단지,8343.01,3001.47,417,20151124
,성남시 분당구 판교역로 145,알파리움2단지,10294.89,3633.26,514,20151124
,성남시 중원구 여수울로 51,산들마을아파트,17073.7,2764.3,1171,20151008
,성남시 중원구 시민로66,중앙동힐스테이트2차,10731.31,2291.67,751,20140707
,성남시 분당구 대왕판교로606번길 58,판교푸르지오월드마크,3549.44,2083.9,142,20130621
,성남시 수정구 수정북로 92,태평동락커뮤니티,201.07,158.91,78,20130321
,성남시 중원구 도촌남로 101,섬마을휴먼시아7단지,12880.93,2741.61,528,20130220
,성남시 중원구 성남대로 1000,센트럴타운,19649.76,4374.77,1039,20121220
,성남시 수정구 모란로 12,모란아이하우스도시형생활주택,344.58,146.51,149,20121120
,성남시 중원구 여수울로 50,연꽃마을4단지,11067.57,2265.33,456,20121116
,성남시 수정구 산성대로437번길 7,성남단대푸르지오,14922.32,3040.32,1015,20120907
,성남시 수정구 산성대로437번길 8,성남단대휴먼시아,2191.61,397.41,213,20120907
,성남시 중원구 시민로66번길 21,중앙동힐스테이트1차,5394.66,1214.21,356,20120521
,성남시 분당구 하오개로 377,운중동푸르지오하임,6267.56,2214.52,144,20120302
,성남시 중원구 희망로 415,성남중앙롯데캐슬,7111.71,1478.54,545,20120000
,성남시 분당구 동판교로 123,판교푸르지오그랑블,19932.78,3266.9,948,20110728
,성남시 분당구 동판교로 212,봇들6단지휴먼시아,15744.25,2780.99,1297,20110126
,성남시 분당구 동판교로 226,봇들4단지휴먼시아,15744.25,2780.99,1297,20110126
,성남시 분당구 동판교로 91,백현4단지휴먼시아,23645.91,3097.58,1974,20110126
,성남시 분당구 동판교로 92,백현3단지휴먼시아,21593.6,3943.24,1722,20110126
,성남시 수정구 논골로36번길 15,우성에비뉴,2209.97,628.75,181,20110000
,성남시 중원구 도촌남로 22,섬마을휴먼시아1단지,15978.35,3339.27,842,20101116
,성남시 분당구 동판교로177번길 25,판교호반써밋플레이스,4459.24,2658.38,178,20100719
,성남시 수정구 수정로 201,신세계쉐덴,3387.79,2706.73,182,20100628
,성남시 분당구 산운로 135,산운7단지휴먼시아,18114.58,4561.26,206,20100607
