No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,수원시 영통구 법조로150번길 19,호수마을광교상록아파트,10283.79,1261.46,533,30120608
,수원시 영통구 덕영대로 1410,영통아이파크캐슬1단지,28581.35,4163.87,1783,20190312
,수원시 영통구 덕영대로 1400,영통아이파크캐슬2단지,18793.33,3198.4,1162,20190121
,수원시 영통구 원천동 604,광교 더샵,9019.46,1470.82,686,20180801
,수원시 영통구 센트럴파크로 6,힐스테이트 광교,15414.58,8152.57,928,20180529
,수원시 영통구 대학로 98,광교호반베르디움트라엘,17617.75,2017.74,446,20170428
,수원시 장안구 송원로 20,수원아너스빌위즈,5337.91,1591.59,798,20170418
,수원시 영통구 웰빙타운로56번길 76,e편한세상TERRACE광교West Hill,18203.06,6831.73,317,20170404
,수원시 영통구 웰빙타운로36번길 46-23,e편한세상TERRACE광교EastHill,11774.12,5011.47,259,20170404
,수원시 권선구 곡선로 10,수원아이파크시티5단지,11492.46,2653.7,704,20150825
,수원시 권선구 곡선로 20,수원아이파크시티6단지,7963.61,1824.26,448,20150825
,수원시 영통구 센트럴타운로 107,광교푸르지오월드마크,6776.97,3974.49,350,20150806
,수원시 영통구 대학3로 55,광교역참누리포레스트,8176.67,1893.58,356,20150730
,수원시 영통구 대학3로 28,광교 시티아이,1812.01,313.31,80,20150413
,수원시 영통구 센트럴타운로 85,광교C1호반베르디움,11665.22,6994.75,508,20150226
,경기 수원시 영통구 광교호수공원로 45,광교호반베르디움,15637.13,2180.4,1330,20140602
,수원시 광교호수로152번길 80,광교호반마을21단지,7628.02,1107.41,394,20140124
,수원시 영통구 센트럴타운로22번길 36,광교센트럴타운60단지,12815.47,2071.39,701,20131104
,수원시 영통구 센트럴타운로 76,e편한세상 광교,38554.77,5296.07,1970,20121206
,수원시 영통구 이의동 에듀타운로 65,자연앤자이,11765.25,1645.54,522,20121205
,영통구 원천동 에듀타운로 35,자연앤자이,6147.74,1008.88,273,20121205
,수원시 영통구 에듀타운로 35,자연앤자이,6147.74,1008.88,273,20121205
,수원시 영통구 도청로 65,자연앤힐스테이트,28285.5,4015.22,1764,20121129
,수원시 영통구 광교호수로152번길 23,광교LakePark한양수자인,8788.38,915.63,453,20120713
,수원시 장안구 장안로359번길 20,수원장안힐스테이트,15586.95,3002.89,927,20120228
,수원시 영통구 센트럴파크로 60,래미안광교,14177.87,1449.82,629,20120217
,수원시 권선수 동수원로145번길 23,수원아이파크시티4단지,18212.65,4286.15,889,20120120
,수원시 권선구 권선동 동수원로145번길 24,수원아이파크시티2단지,25394.88,5678.75,1135,20120120
,수원시 영통구 웰빙타운로 50,광교2차e편한세상,12201.64,1575.29,442,20111202
,수원시 권선구 금곡로 46,수원호매실휴먼시아5단지,24509.34,4667.02,1318,20111118
,수원시 영통구 광교중앙로 247,휴먼시아아파트,30443.9,3026.64,2289,20111107
,수원시 영통구 법조로 134,광교호수마을참누리레이크,21468.42,3211.93,1188,20110930
,수원시 영통구 매봉로 20,매탄 e편한세상,9495.63,1486.09,580,20100528
,수원시 팔달구 화양로50번길 30,블루밍푸른숲아파트,25901.32,5075.62,1744,20090728
,수원시 팔달구 경수대로 534,인계극동스타클래스,2314.34,514.25,165,20090602
,수원시 팔달구 장다리로306번길 45,수정아파트,1547.59,502.35,166,20090216
,수원시 장안구 화산로 85,천천푸르지오,39558.23,5630.29,2571,20090116
,수원시 영통로90번길 4-22,삼정라츠아파트,2762.25,529.65,185,20080901
,수원시 영통구 효원로 363,매탄위브하늘채,47230.99,7175.57,3391,20080509
,수원시 장안구 정자천로188번길 21,정자케이티e편한세상,5680.62,1130.88,288,20080128
,수원시 장안구 파장로 53,정자 벽산블루밍,7426.95,1653.16,481,20070412
,수원시 장안구 송정로 83,수원로얄팰리스,4745.68,3906.07,614,20060127
,수원시 장안구 율전로 73,율전이안아파트,5331.23,1220.92,383,20051010
,수원시 팔달구 권광로 373,월드메르디앙 아파트,34945.71,4525.43,2063,20040712
,수원시 권선구 세화로168번길 15,센트라우스,14996.14,34339.74,1094,20030909
,수원시 장안구 만석로 29,비단마을현대성우우방아파트,10314.43,1729.16,501,20020000
,수원시 장안구 천천로21번길 33,청솔마을주공아파트,8916.49,1414.77,583,20020000
,수원시 팔달구 중부대로 193,신성미소지움아파트,3386.64,555.2,272,20020000
,수원시 영통구 매탄동 1258,주공그린빌,10150.69,1886.36,656,20020000
,수원시 영통구 영통로200번길 20,망포마을현대1차아이파크,8757.22,1489.47,512,20020000
,수원시 팔달구 경수대로565번길 26,CJ아파트,1736.65,475.74,221,20010000
,수원시 영통구 태장로82번길 32,동수원자이1차,31927.39,4979.57,1829,20010000
,수원시 장안구 대평로89번길 32,백설마을주공아파트,4898.65,781.54,348,20010000
,수원시 장안구 덕영대로639번길 63,꽃뫼노을마을한마루아파트,2866.58,516.68,291,20000000
,수원시 권선구 동탄원천로813번길 16,권선대우아파트,5252.61,1003.59,358,20000000
,수원시 권선구 덕영대로1323번길 26-7,우남아파트,3229.43,681.88,180,20000000
,수원시 장안구 정자천로189번길 40,연꽃마을벽산아파트,5305.94,940.64,392,20000000
,수원시 장안구 정자천로189번길 47,연꽃마을풍림아파트,13308.79,2484.24,792,19991102
,수원시 장안구 수성로245번길 21,"두견마을영남,우방,한솔아파트",13184.7,2479.04,1335,19990827
,수원시 경수대로976번길 22,수원한일타운,59338.73,10465.57,5350,19990000
,수원시 팔달구 권선로 477,대한대우아파트,22914.62,6087.32,1293,19990000
,수원시 권선구 매곡로 100,동성아파트,2727.04,508.93,219,19990000
,수원시 장안구 만석로68번길 10,백석마을현대코오롱,6993.26,1400.27,693,19990000
,수원시 팔달구 수성로157번길 75,꽃뫼노을마을풍림아파트,2728.85,560.44,276,19990000
,수원시 권선구 서부로 1534,대한아파트,6861.61,2005.88,720,19980000
,수원시 영통구 권광로290번길 34-18,우성아파트,1672.11,553.17,230,19980000
,수원시 영통구 영통로 460,대우동신아파트,19301.56,3145.13,984,19980000
,수원시 장안구 화산로 263,신일아파트,8174.76,1933.81,824,19971203
,수원시 영통구 영통동 영통로 498,황골마을주공1단지,32968.87,5456.14,3129,19970000
,수원시 팔달구 덕영대로697번길 48,"화서4,5단지주공아파트",16908.54,2807.34,1700,19970000
,수원시 장안구 하률로30번길 22,"신안,한일아파트",8276.55,1572.71,456,19970000
,수원시 영통구 봉영로1770번길 21,신명한국아파트,10558.76,2167.76,952,19970000
,수원시 권선구 매탄로 25,삼천리권선2차,6552.15,1418.06,546,19960000
,수원시 팔달구 권광로276번길 9,삼성아파트,4814.89,1232.46,582,19960000
,수원시 권선구 권광로27번길 62,삼천리권선1차,6376,1622.97,496,19940000
,수원시 영통구 매영로 110,백자아파트,2434.91,710.44,120,19940000
,수원시 영통구 동탄원천로1109번길 37,한국아파트,10191.68,2112.7,496,19940000
,수원시 영통구 동탄원천로 1035,매탄3차삼성아파트,11035.35,3309.67,595,19930000
,수원시 권선구 권광로27길 22,신현대아파트,2828.19,602.42,188,19930000
,수원시 장안구 정조로1060번길 5,동진맨션아파트,1882.82,674.58,180,19900000
,수원시 영통구 매영로 10,삼성아파트,7550.22,1700.16,624,19890000
,수원시 권선구 정조로 432,미영아파트,12600.54,2764.14,600,19880000
,수원시 영통구 봉영로 1526,살구골진덕서광성지동아,23466.07,2804.47,1248,19880000
,수원시 권선구 권중로 110,보성유원아파트,14381.45,3221.23,1200,19660228
