No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,경기도 안양시 만안구 박달로 939,한양수자인에듀파크아파트,4672.75,999.99,348,20171115
,경기도 안양시 만안구 안양천서로 177,래미안안양메가트리아,53450.54,8562.8,4250,20161026
,경기도 안양시 동안구 엘에스로116번길 56,안양호계푸르지오아파트,6330.24,1139.91,410,20150828
,경기도 안양시 만안구 경수대로1394번길 12,힐스테이트석수아파트,3580.69,706.14,239,20150729
,경기도 안양시 동안구 시민대로327번길 55,평촌더샵센트럴시티아파트,19078.74,2963.56,1459,20130404
,경기도 안양시 만안구 연현로1번길 56,안양석수하우스토리아파트,3427.39,771.36,281,20120103
,경기도 안양시 만안구 경수대로1290번길 15,관악역이안아파트,4390.79,1076.85,271,20100401
,경기도 안양시 만안구 연현로 103,석수두산위브아파트,11287.48,2478.85,742,20100000
,경기도 안양시 만안구 박달로497번길 57,한신휴플러스타운3차아파트,5049.03,753.27,392,20091202
,경기도 안양시 만안구 충훈로 51,석수아이파크아파트,14388.17,2663.18,1134,20090930
,경기도 안양시 만안구 삼성산길 8,석수역푸르지오아파트,7507.51,1581.45,542,20090630
,경기도 안양시 만안구 연현로 75,현진에버빌아파트,1739.65,462.74,154,20071214
,경기도 안양시 만안구 장내로 76,수리산성원상떼빌1차아파트,5598.67,1202.34,469,20061227
,경기도 안양시 만안구 경수대로1394번길 11,석수2차e편한세상아파트,3295.43,699.62,231,20060120
,경기도 안양시 만안구 태평로60번길 16,안양한승미메이드아파트,1659.39,376.98,218,20050330
,경기도 안양시 동안구 경수대로707번길 39,호계신성미소지움아파트,3601.84,790,361,20041201
,경기도 안양시 만안구 안양천서로 289,주공뜨란채아파트,11288.66,2021.09,1093,20041115
,경기도 안양시 만안구 삼막로 12,주공그린빌아파트,7762.63,1723.49,543,20030906
,경기도 안양시 동안구 경수대로623번길 60,홍화브라운빌아파트,1917.85,448.02,149,20021207
,경기도 안양시 만안구 안양천서로 311,삼성래미안아파트,17008.27,3067.88,1998,20020000
,경기도 안양시 만안구 경수대로 1193,석수e편한세상아파트,"16,580.48","3,335.48",1956,20020000
,경기도 안양시 만안구 경수대로1219번길 8,석수경남아너스빌아파트,5541.07,1448.19,704,20020000
,경기도 안양시 동안구 경수대로733번길 23,호계현대홈타운1차아파트,7621.7,1426.71,604,20020000
