No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,경기도 성남시 수정구 위례동이로 24,e편한세상테라스위례아파트,12225.54,4550.85,360,20171118
,경기도 성남시 수정구 위례광장로 12,위례역푸르지오6단지아파트,5206.72,1404.76,265,20171017
,경기도 성남시 수정구 위례순환로 17,위례31단지 아파트,24114.69,3710.39,2334,20170707
,경기도 성남시 수정구 위례광장로 97,위례자연앤센트럴자이아파트,20623.54,3922.75,1413,20170628
,경기도 하남시 위례광장로 285-1,신안인스빌아스트로아파트,12848.39,2351.98,694,20170222
,서울시 송파구 위례광장로 215,위례스타힐스아파트,19334.59,3493.67,1493,20170106
,서울시 송파구 위례광장로 120,위례중앙푸르지오1단지아파트,2871.63,1486.77,163,20161223
,경기도 성남시 수정구 위례중앙로 216,위례호반베르디움아파트,19570.78,3457.09,1137,20161206
,경기도 성남시 수정구 위례순환로 100,위례자이아파트,12710.14,2674.44,517,20161027
,서울시 송파구 위례광장로 170,힐스테이트송파위례,7244.27,2068.97,490,20160719
,경기도 성남시 수정구 위례동로 61,자연앤래미안e편한세상아파트,26915.54,4733.89,1540,20160630
,경기도 하남시 위례광장로 265,엠코타운센트로엘아파트,12538.63,2263.02,673,20160603
,경기도 성남시 수정구 위례광장로 311,위례35단지아파트,23109.79,3755,2568,20160531
,서울시 송파구 위례광장로 230,위례2차아이파크아파트,7292.97,2707.67,495,20160527
,경기도 성남시 수정구 위례순환로 211,위례센트럴푸르지오아파트,11938.77,2239.93,687,20160411
,서울시 송파구 위례광장로 270,위례신도시송파와이즈더샵,6218.8,2399.88,390,20160226
,경기도 성남시 수정구 위례순환로 220,위례더힐55아파트,29811.38,4694.26,1380,20151213
,서울시 송파구 위례광장로 136,위례아이파크아파트,6365.81,2560.75,400,20151130
,경기도 성남시 수정구 위례순환로 150,래미안위례아파트,9512.11,2251.42,410,20151127
,경기도 성남시 수정구 위례동로 15,힐스테이트위례아파트,15397.85,2965.99,621,20151127
,서울시 송파구 위례광장로 185,위례송파푸르지오아파트,11240.3,2511.45,549,20150123
,서울시 송파구 위례광장로 163,위례22단지비발디아파트,13367.78,2313.27,1139,20131101
