No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,경기도 고양시 일산서구 일청로 75,일산푸르지오,7177.66,1710.63,589,20130806
,경기도 고양시 일산동구 무궁화로 255,요진와이하우스,4752.43,1465.39,258,20130426
,경기도 고양시 일산서구 일현로 97-11,일산두산위브더제니스,17854.73,11557.08,2700,20130426
,경기도 고양시 일산서구 킨텍스로 340,문촌7단지 주공아파트,13718.83,1776.23,1150,20120000
,경기도 고양시 일산동구 하늘마을로 76,하늘6단지 휴먼시아아파트,10402.98,1890.17,410,20100702
,경기도 고양시 일산동구 하늘마을로 94,하늘2단지 휴먼시아아파트,17226.89,2346.84,1000,20071113
,경기도 고양시 일산동구 숲속마을 1로 29-15,숲속1단지 주공아파트,10255.2,1552.66,1019,20071110
,경기도 고양시 일산동구 중산로 101,하늘1단지 휴먼시아아파트,15799.57,2284.33,1378,20071025
,경기도 고양시 일산동구 하늘마을 1로 25,하늘5단지 휴먼시아아파트,19152.88,2526.2,1150,20070816
,경기도 고양시 일산동구 하늘마을 1로 105,하늘3단지 주공아파트,7155.15,1064.76,583,20070614
,경기도 고양시 일산동구 하늘마을 1로 7,하늘4단지 주공아파트,7351.78,1047.88,782,20070614
,경기도 고양시 일산동구 숲속마을로 195,숲속9단지 상원상떼빌,9704.3,1571.1,469,20061208
,경기도 고양시 일산동구 숲속마을로 68,숲속6단지 두산위브,15903.24,2312.39,730,20060928
,경기도 고양시 일산동구 숲속마을 1로 116,숲속7단지 주공아파트,15918.76,2258.73,982,20060908
,경기도 고양시 일산동구 숲속마을 1로 55,숲속2단지 두산위브아파트,14210.54,1974.94,886,20060707
,경기도 고양시 일산동구 숲속마을 1로 115,숲속8단지 주공아파트,12937.74,1759.11,1034,20060706
,경기도 고양시 일산동구 숲속마을 2로 25,에버나인아파트,6336.47,1053.81,234,20060629
,경기도 고양시 일산동구 숲속마을 1로 87,숲속5단지 아이파크,13021.78,1871.91,583,20060627
,경기도 고양시 일산동구 중산로 160-10,산들1단지 e편한세상,2793.22,496.34,148,20040129
,경기도 고양시 일산서구 대화 1로 70,대화7단지 양우아파트,10397.68,1466.05,655,20030630
,경기도 고양시 일산서구 송포로 11,대화10단지 현대아이파크,15966.92,4152.01,811,20030630
,경기도 고양시 일산동구 고봉로 278번길 17,산들2단지 e편한세상,10704.3,1802.54,693,20020000
,경기도 고양시 일산동구 애니골길 7-27,쌍용아파트,6620.21,928.51,238,20020000
,경기도 고양시 일산서구 대화 1로 21,대화1단지 엘지아파트,8836.93,1687.81,329,20020000
,경기도 고양시 일산서구 대화 1로 51,대화3단지 동문아파트,11638.69,1483.86,706,20020000
,경기도 고양시 일산서구 대화 2로 68,대화2단지 한라아파트,11093.28,1411.8,460,20020000
,경기도 고양시 일산서구 강성로 256,성저2단지 세경아파트,4953.07,711.63,390,20000000
,경기도 고양시 일산서구 산현로 41,탄현14단지 주은아파트,2958.48,603.84,232,20000000
,경기도 고양시 일산서구 산현로 17번길 12,탄현12단지 서광아파트,3995.63,738.36,308,20000000
,경기도 고양시 일산서구 산현로 17번길 38,탄현11단지 동신아파트,6667.52,1145.35,516,20000000
,경기도 고양시 일산서구 현중로 5,탄현15단지 효성아파트,3768.27,715.86,241,20000000
,경기도 고양시 일산서구 현중로 10,탄현16단지 풍림아파트,10053.47,1748.6,980,20000000
,경기도 고양시 일산서구 현중로 13,탄현13단지 삼환아파트,6061.07,1052.47,396,20000000
